(Proteins Complexes Compounds),Object ID,Gene
methylated adenine and cytosine restriction protein,EG10612-MONOMER,mrr
protein YgfX,G7509-MONOMER,ygfX
DNA adenine methyltransferase,EG10204-MONOMER,dam
ferrous iron transport protein A,EG12101-MONOMER,feoA
putative major facilitator superfamily transporter YdhP,B1657-MONOMER,ydhP
D-aminoacyl-tRNA deacylase,EG11852-MONOMER,dtd
NADH:quinone oxidoreductase subunit H,NUOH-MONOMER,nuoH
16S rRNA m<sup>4</sup>C1402 methyltransferase,EG11085-MONOMER,rsmH
ADP-sugar pyrophosphatase,EG12633-MONOMER,nudF
4-(cytidine 5'-diphospho)-2-<i>C</i>-methyl-D-erythritol kinase,EG11294-MONOMER,ispE
putrescine ABC transporter periplasmic binding protein,POTF-MONOMER,potF
"deamidated glutathione amidase, C-terminal fragment",G6348-MONOMER,ybeM_2
TETRAACYLDISACC4KIN-MONOMER,TETRAACYLDISACC4KIN-MONOMER,lpxK
putative voltage-gated ClC-type chloride channel ClcB,YNFJ-MONOMER,clcB
"trimethylamine N-oxide reductase 2, <I>c</I>-type cytochrome subunit",G7023-MONOMER,torY
putative inner membrane protein,G6542-MONOMER,ycdZ
glutamate/aspartate : H<sup>+</sup> symporter GltP,GLTP-MONOMER,gltP
Qin prophage; cold shock protein YdfK,G6818-MONOMER,ydfK
3-ketoacyl-CoA thiolase FadI,G7213-MONOMER,fadI
putative carbamoyltransferase,G7489-MONOMER,ygeW
DNA-binding transcriptional dual regulator ChbR,EG10143-MONOMER,chbR
RutC family protein YoaB,G6993-MONOMER,yoaB
putative transporter YbaT,B0486-MONOMER,ybaT
stress response kinase A,EG11831-MONOMER,srkA
protein kinase-like domain-containing protein YrbL,G7667-MONOMER,yrbL
uncharacterized protein YqfG,MONOMER0-2883,yqfG
uracil-DNA glycosylase,EG11058-MONOMER,ung
5-methylcytosine-specific restriction enzyme subunit McrC,EG10575-MONOMER,mcrC
"UDP-<i>N</i>-acetylmuramate&mdash;L-alanyl-&gamma;-D-glutamyl-<i>meso</i>-2,6-diaminoheptanedioate ligase",EG12440-MONOMER,mpl
copper/silver export system membrane fusion protein,G6322-MONOMER,cusB
putative DNA repair helicase RadD,EG12045-MONOMER,radD
dipeptide/tripeptide:H<sup>+</sup> symporter DtpC,YJDL-MONOMER,dtpC
free methionine-(<i>R</i>)-sulfoxide reductase,G7005-MONOMER,msrC
nitrite reductase subunit NirD,NIRD-MONOMER,nirD
glutamate dehydrogenase,GDHA-MONOMER,gdhA
autotransporter family protein YdeU,G6797-MONOMER,ydeU
RNase R,EG11259-MONOMER,rnr
putative transcriptional regulator YgeH,G7472-MONOMER,ygeH
diadenosine tetraphosphatase,EG10048-MONOMER,apaH
L-fucose isomerase,FUCISOM-MONOMER,fucI
acetyl-CoA:acetoacetyl-CoA transferase subunit &beta;,ATOA-MONOMER,atoA
conserved inner membrane protein YebE,EG11806-MONOMER,yebE
NADP<sup>+</sup>-dependent succinate-semialdehyde dehydrogenase,SUCCSEMIALDDEHYDROG-MONOMER,gabD
toxic peptide ShoB,MONOMER0-2860,shoB
outer membrane channel TolC,EG11009-MONOMER,tolC
putative aminoacrylate hydrolase,G6520-MONOMER,rutD
glutathione-specific &gamma;-glutamylcyclotransferase,EG12403-MONOMER,chaC
phenylalanine&mdash;tRNA ligase subunit &alpha;,PHES-MONOMER,pheS
disulfide reductase,G7194-MONOMER,yfcG
DLP12 prophage; putative nuclease YbcO,G6305-MONOMER,ybcO
putative D-galactonate transporter,YIDT-MONOMER,dgoT
&alpha;-ketoglutarate:H<sup>+</sup> symporter,KGTP-MONOMER,kgtP
galactitol-1-phosphate 5-dehydrogenase,GALACTITOLPDEHYD-MONOMER,gatD
putative lipoprotein YddL,G6773-MONOMER,yddL
conserved inner membrane protein YeaL,G6975-MONOMER,yeaL
sulfur acceptor protein CsdE,G7455-MONOMER,csdE
lipoamide dehydrogenase,E3-MONOMER,lpd
protein/nucleic acid deglycase 2,G7647-MONOMER,yhbO
ARYLSULFAT-MONOMER,ARYLSULFAT-MONOMER,aslA
autotransporter family protein YdeK,EG11780-MONOMER,ydeK
"16S rRNA m<sup>6</sup><sub>2</sub>A1518,m<sup>6</sup><sub>2</sub>A1519 dimethyltransferase",EG10523-MONOMER,rsmA
hypothetical protein,MONOMER0-2825,ygdT
"protease IV, a signal peptide peptidase",EG10968-MONOMER,sppA
cystathionine-&beta;-lyase / L-cysteine desulfhydrase,CYSTATHIONINE-BETA-LYASE-MONOMER,metC
putative solute:Na<sup>+</sup> symporter,EG12376-MONOMER,yfeH
allantoate amidohydrolase,G6285-MONOMER,allC
conserved protein YohH,EG12021-MONOMER,yohH
putative major facilitator superfamily transporter TsgA,YHFC-MONOMER,tsgA
L-galactonate oxidoreductase,G7945-MONOMER,lgoD
nitrate reductase Z subunit &gamma;,NARV-MONOMER,narV
orphan toxin OrtT,G6756-MONOMER,ortT
putative anti-terminator regulatory protein,G7434-MONOMER,ygcP
putative kinase inhibitor,EG11238-MONOMER,ybhB
DSDX-MONOMER,DSDX-MONOMER,dsdX
AROB-MONOMER,AROB-MONOMER,aroB
"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase",FOLD-MONOMER,folD
putative oxidoreductase,EG11759-MONOMER,yciK
MONOMER0-2798,MONOMER0-2798,
acetolactate synthase II subunit IlvM,SMALLILVM-MONOMER,ilvM
KpLE2 phage-like element; putative nucleoside triphosphatase,G7915-MONOMER,sgcQ
ferritin iron storage protein,EG10921-MONOMER,ftnA
conserved inner membrane protein YccF,G6496-MONOMER,yccF
peptidyl-prolyl <i>cis-trans</i> isomerase C,EG12352-MONOMER,ppiC
DNA-binding transcriptional dual regulator CueR,G6263-MONOMER,cueR
putative <i>N</i>-acetyltransferase ElaA,G7174-MONOMER,elaA
urate:H<sup>+</sup> symporter,YGFU-MONOMER,uacT
hydrolase/methyltransferase domain-containing protein YnbC,G6729-MONOMER,ynbC
isoleucine&mdash;tRNA ligase,ILES-MONOMER,ileS
putative L-threonate dehydrogenase,G7417-MONOMER,ygbJ
NAD(P)H nitroreductase NfsB,DIHYDROPTERIREDUCT-MONOMER,nfsB
5-hydroxy-CTP diphosphatase,G6954-MONOMER,nudG
water channel AqpZ,AQPZ-MONOMER,aqpZ
regulatory ATPase RavA,EG11731-MONOMER,ravA
putative L-cysteine desulfidase YhaM,G7622-MONOMER,yhaM
"KpLE2 phage-like element; toxin of the TopAI-YjhQ toxin-antitoxin system, TopA inhibitor",MONOMER0-2695,topAI
"KpLE2 phage-like element; putative phosphoethanolamine transferase YjgX, N-terminal fragment",G7898-MONOMER,yjgX_1
"transcriptional dual regulator HU-&beta;, NS1 (HU-1)",EG10467-MONOMER,hupB
30S ribosomal subunit protein S6,EG10905-MONOMER,rpsF
putative fimbrial protein YadN,EG12328-MONOMER,yadN
CTP synthase,CTPSYN-MONOMER,pyrG
nucleotide binding protein,G6240-MONOMER,yajQ
putative betaine/carnitine/choline family transporter YeaV,YEAV-MONOMER,yeaV
putative fimbrial protein YehD,EG11990-MONOMER,yehD
"phenylacetyl-CoA 1,2-epoxidase subunit B",G6710-MONOMER,paaB
K<sup>+</sup> binding protein,G7395-MONOMER,kbp
fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase,NAG1P-URIDYLTRANS-MONOMER,glmU
2-dehydro-3-deoxygluconokinase,DEOXYGLUCONOKIN-MONOMER,kdgK
AMP nucleosidase,AMP-NUCLEOSID-MONOMER,amn
putative <i>N</i>-acetyltransferase YjaB,EG11207-MONOMER,yjaB
"putative phospho-glucosidase, truncated",EG11708-MONOMER,glvG
conserved protein YoeF,MONOMER0-2678,yoeF
FGAMSYN-MONOMER,FGAMSYN-MONOMER,purL
translocation and assembly module subunit TamA,G7874-MONOMER,tamA
50S ribosomal subunit protein L24,EG10884-MONOMER,rplX
"succinate:quinone oxidoreductase, FAD binding protein",SDH-FLAVO,sdhA
divergent polysaccharide deacetylase domain-containing protein YibQ,EG12298-MONOMER,yibQ
phosphatidylglycerophosphatase B,PGPPHOSPHAB-MONOMER,pgpB
reduced ferredoxin,FERREDOXIN-MONOMER,fdx
aliphatic sulfonate ABC transporter periplasmic binding protein,G6478-MONOMER,ssuA
<i>S</i>-formylglutathione hydrolase FrmB,G6208-MONOMER,frmB
putative ABC transporter membrane subunit YdcU,YDCU-MONOMER,ydcU
protein YfaT,G7156-MONOMER,yfaT
Rac prophage; protein LomR_1,G6692-MONOMER,lomR_1
CP4-57 prophage; uncharacterized protein YpjK,G7370-MONOMER,ypjK
hydrogenase 1 small subunit,HYAA-MONOMER,hyaA
phosphoribosylformylglycinamide cyclo-ligase,AIRS-MONOMER,purM
phosphotransferase system enzyme IIA(Ntr),EG11682-MONOMER,ptsN
putative kinase YniA,G6930-MONOMER,yniA
MbtH-like protein that enhances the catalytic function of EntF,MONOMER0-2659,ybdZ
"succinate:quinone oxidoreductase, iron-sulfur cluster binding protein",SDH-FE-S,sdhB
3-keto-L-gulonate-6-phosphate decarboxylase UlaD,G7858-MONOMER,ulaD
fumarate reductase iron-sulfur protein,FUM-FE-S,frdB
putative oxidoreductase YgjR,G7606-MONOMER,ygjR
50S ribosomal subunit protein L3,EG10866-MONOMER,rplC
"putative hydrogenase, 4Fe-4S ferredoxin-type component",EG12277-MONOMER,ysaA
regulator of FtsH protease,EG10436-MONOMER,hflK
pyridoxine 5'-phosphate synthase,PDXJ-MONOMER,pdxJ
putative acyl-CoA synthetase YahF,G6185-MONOMER,yahF
cytidylate kinase,CMPKI-MONOMER,cmk
putative major facilitator superfamily transporter YcaD,YCAD-MONOMER,ycaD
diguanylate cyclase DgcM,G6673-MONOMER,dgcM
DNA-binding transcriptional activator ZntR,EG11969-MONOMER,zntR
DUF4154 domain-containing protein YfiR,G7354-MONOMER,yfiR
adenine phosphoribosyltransferase,ADENPRIBOSYLTRAN-MONOMER,apt
small conductance mechanosensitive channel YnaI,MONOMER0-82,ynaI
serine endoprotease,EG11652-MONOMER,degS
DNA-binding transcriptional dual regulator ModE,MONOMER0-185,modE
cell division protein DamX,EG11183-MONOMER,damX
miniconductance mechanosensitive channel MscM,G7840-MONOMER,mscM
EG10850-MONOMER,EG10850-MONOMER,rimI
3-ketoacyl-CoA thiolase,FADA-MONOMER,fadA
putative c-di-GMP phosphodiesterase PdeK,EG12256-MONOMER,pdeK
DNA-binding transcriptional repressor ExuR,PD03270,exuR
RNA polymerase sigma E factor,RPOE-MONOMER,rpoE
biotin transporter,EG11471-MONOMER,bioP
DNA-binding transcriptional dual regulator MatA,G6165-MONOMER,ecpR
nitric oxide reductase,G6457-MONOMER,hcp
xylulokinase,XYLULOKIN-MONOMER,xylB
putative oxidoreductase YcjS,G6653-MONOMER,ycjS
"tagatose-1,6-bisphosphate aldolase 2 subunit GatZ",G7128-MONOMER,gatZ
tRNA Cm32/Um32 methyltransferase,G7327-MONOMER,trmJ
acetylornithine deacetylase,ACETYLORNDEACET-MONOMER,argE
histidine ABC transporter periplasmic binding protein,HISJ-MONOMER,hisJ
protein YciI,EG11607-MONOMER,yciI
protein YjdP,MONOMER0-1541,yjdP
protein YdiH,G6911-MONOMER,ydiH
putative outer membrane porin L,G7814-MONOMER,ompL
DNA-binding transcriptional dual regulator ArcA,ARCA-MONOMER,arcA
ssDNA-specific exonuclease RecJ,EG10830-MONOMER,recJ
putative fimbrial protein YqiI,G7587-MONOMER,yqiI
putative universal stress (ethanol tolerance) protein B,EG12231-MONOMER,uspB
DNA-binding transcriptional repressor LacI,PD00763,lacI
elongation factor G,EG10360-MONOMER,fusA
methionine sulfoxide reductase A,EG11433-MONOMER,msrA
sensory histidine kinase ArcB,ARCB-MONOMER,arcB
CP4-6 prophage; DNA-binding protein,G6149-MONOMER,yagL
Na<sup>+</sup>/K<sup>+</sup>:H<sup>+</sup> antiporter ChaA,CHAA-MONOMER,chaA
uroporphyrinogen decarboxylase,UROGENDECARBOX-MONOMER,hemE
DUF440 domain-containing protein YciU,G6633-MONOMER,yciU
putative c-di-GMP phosphodiesterase PdeC,EG11938-MONOMER,pdeC
&beta;-barrel assembly-enhancing protease,G7311-MONOMER,bepA
"6-phosphogluconate dehydrogenase, decarboxylating",6PGLUCONDEHYDROG-MONOMER,gnd
protein YtiC,MONOMER0-4391,ytiC
transcription elongation factor GreB,EG11578-MONOMER,greB
dihydroxyacetone kinase subunit L,MONOMER0-1261,dhaL
P-loop NTPase domain-containing protein YggC,EG11161-MONOMER,yggC
<i>N</i>-acetyltransferase YhhY,G7758-MONOMER,yhhY
phage shock protein B,EG10777-MONOMER,pspB
enoyl-[acyl-carrier-protein] reductase subunit,ENOYL-ACP-REDUCT-NADH-MONOMER,fabI
23S rRNA m<sup>1</sup>G745 methyltransferase,EG12207-MONOMER,rlmA
integration host factor subunit &beta;,PD00348,ihfB
ribose-5-phosphate isomerase A,RIB5PISOMA-MONOMER,rpiA
PsiF family protein,EG11401-MONOMER,psiF
CP4-6 prophage; conserved protein YafZ,G6127-MONOMER,yafZ
undecaprenyl pyrophosphate phosphatase,G6439-MONOMER,ybjG
UDP-N-acetylglucosamine acyltransferase,UDPNACETYLGLUCOSAMACYLTRANS-MONOMER,lpxA
inhibitor of g-type lysozyme,G6615-MONOMER,pliG
putative colanic acid biosynthesis glycosyl transferase,G7104-MONOMER,wcaA
"putative chaperonin, ethanolamine utilization protein",G7284-MONOMER,eutJ
DNA-binding transcriptional activator GadE,EG11544-MONOMER,gadE
GUANYLCYC-MONOMER,GUANYLCYC-MONOMER,
acetaldehyde dehydrogenase (acylating),MHPF-MONOMER,mhpF
DNA utilization protein HofM,G7739-MONOMER,hofM
adhesin-like autotransporter YdhQ,G6894-MONOMER,ydhQ
e14 prophage; site-specific DNA recombinase,EG10737-MONOMER,pinE
glutaredoxin 4,EG12181-MONOMER,grxD
NADPH-dependent aldehyde reductase YqhD,G7564-MONOMER,yqhD
DNA-binding transcriptional dual regulator AraC,PD00242,araC
iron-sulfur cluster insertion protein SufA,EG11378-MONOMER,sufA
type 1 fimbriae minor subunit FimF,EG10313-MONOMER,fimF
NlpC/P60 family protein YafL,G6111-MONOMER,yafL
tyrosine aminotransferase,TYRB-MONOMER,tyrB
acetyl-CoA carboxyltransferase subunit &beta;,CARBOXYL-TRANSFERASE-BETA-MONOMER,accD
e14 prophage; putative tail fiber assembly protein TfaP,G6598-MONOMER,tfaP
putative inner membrane protein,G7268-MONOMER,yfeZ
23S rRNA pseudouridine<sup>2604</sup> and tRNA<sup>Tyr</sup> pseudouridine<sup>35</sup> synthase,EG11921-MONOMER,rluF
"fructose-1,6-bisphosphatase 2",EG11517-MONOMER,glpX
isochorismate synthase MenF,MENF-MONOMER,menF
putative drug/metabolite exporter family transporter YedA,EG11141-MONOMER,yedA
putative lipoprotein YhfL,G7722-MONOMER,yhfL
aminopeptidase N,EG10696-MONOMER,pepN
putative RNA-binding protein,EG12879-MONOMER,ybcJ
"Rac prophage; inhibitor of FtsZ, killing protein",EG12155-MONOMER,kilR
pantothenate synthetase,PANTOATE-BETA-ALANINE-LIG-MONOMER,panC
quinolinate synthase,QUINOLINATE-SYNTHA-MONOMER,nadA
"UDP-D-galactose:(glucosyl)lipopolysaccharide-1,6-D-galactosyltransferase",EG11351-MONOMER,waaB
DNA-binding transcriptional activator CaiF,G6088-MONOMER,caiF
G6418-MONOMER,G6418-MONOMER,opgE
cytoplasmic trehalase,TREHALACYTO-MONOMER,treF
23S rRNA pseudouridine<sup>2457</sup> synthase,G6581-MONOMER,rluE
CP4-44 prophage; protein YeeW,G7086-MONOMER,yeeW
broad-specificity exoaminopeptidase,G7247-MONOMER,ypdE
putative peptide chain release factor,EG11496-MONOMER,prfH
glycine&mdash;tRNA ligase subunit &beta;,GLYS-MONOMER,glyS
maltodextrin glucosidase,MALTODEXGLUCOSID-MONOMER,malZ
Type II secretion system protein GspF,G7705-MONOMER,gspF
SoxR [2Fe-2S] reducing system protein RsxC,G6873-MONOMER,rsxC
transcription antitermination protein NusB,EG10666-MONOMER,nusB
regulator of RpoS,EG12121-MONOMER,rssB
putative lipoprotein YghJ,G7541-MONOMER,yghJ
DNA-binding transcriptional dual regulator OmpR,OMPR-MONOMER,ompR
RadC-like JAB domain-containing protein YicR,EG11312-MONOMER,yicR
long-chain fatty acid outer membrane porin/bacteriophage T2 receptor,EG10280-MONOMER,fadL
THRESYN-MONOMER,THRESYN-MONOMER,thrC
putative lipid II flippase MurJ,G6561-MONOMER,murJ
&beta;-glucoside specific PTS enzyme II / BglG kinase / BglG phosphatase,BGLF-MONOMER,bglF
CPS-53 (KpLE1) prophage; protein YfdQ,G7229-MONOMER,yfdQ
lysine&mdash;tRNA ligase/Ap<sub>4</sub>A synthetase/Ap<sub>3</sub>A synthetase,LYSU-MONOMER,lysU
Rac prophage; double-strand break reduction protein,EG11901-MONOMER,ydaC
aromatic carboxylic acid efflux pump membrane fusion protein,G7686-MONOMER,aaeA
P-loop NTPase family protein,EG10611-MONOMER,mrp
IS3 element transposase,MONOMER0-4248,insEF-4
protein chain elongation factor EF-P,EG12099-MONOMER,efp
NADH:quinone oxidoreductase subunit G,NUOG-MONOMER,nuoG
inner membrane protein,EG11122-MONOMER,yciB
"outer membrane lipoprotein, localization of lipoproteins in the outer membrane",EG11293-MONOMER,lolB
flagellar biosynthesis protein FlhA,G370-MONOMER,flhA
conserved protein YbeL,EG12851-MONOMER,ybeL
tellurite resistance protein,TEHA-MONOMER,tehA
chaperone protein YcdY,G6541-MONOMER,ycdY
glucose-specific PTS enzyme IIBC component,PTSG-MONOMER,ptsG
3-hydroxyacyl-CoA dehydrogenase FadJ,G7212-MONOMER,fadJ
lipid A disaccharide synthase,LIPIDADISACCHARIDESYNTH-MONOMER,lpxB
putative DNA-binding transcriptional regulator YbhD,G6398-MONOMER,ybhD
putative 5' to 3' DNA helicase implicated in DNA repair,G6992-MONOMER,yoaA
lipopolysaccharide transport system protein LptC,G7664-MONOMER,lptC
Mlc titration factor,G7063-MONOMER,mtfA
5-methylcytosine-specific restriction enzyme subunit McrB,EG10574-MONOMER,mcrB
16S rRNA pseudouridine<sup>516</sup> synthase,EG12044-MONOMER,rsuA
glycerate 2-kinase 2,GLY3KIN-MONOMER,glxK
NIRC-MONOMER,NIRC-MONOMER,nirC
diguanylate cyclase DgcC,EG11257-MONOMER,dgcC
redox enzyme maturation protein DmsD,G6849-MONOMER,dmsD
enterobacterial common antigen polymerase,FUC4NACTRANS-MONOMER,wzyE
DNA-binding transcriptional dual regulator NarL,NARL-MONOMER,narL
succinylornithine transaminase,SUCCORNTRANSAM-MONOMER,astC
DUF179 domain-containing protein YqgE,G7524-MONOMER,yqgE
putative malonic semialdehyde reductase,G6519-MONOMER,rutE
glutathione <i>S</i>-transferase YfcF,G7193-MONOMER,yfcF
DNA polymerase III subunit &alpha;,EG10238-MONOMER,dnaE
ketol-acid reductoisomerase (NADP<sup>+</sup>),KETOLREDUCTOISOM-MONOMER,ilvC
protein YoaI,G6974-MONOMER,yoaI
putative gluconate:H<sup>+</sup> symporter family transporter YgbN,B2740-MONOMER,ygbN
putative nucleoside-diphosphate-sugar epimerase,G7646-MONOMER,yraR
K<sup>+</sup> transporting P-type ATPase subunit KdpC,EG10515-MONOMER,kdpC
cell division factor ZapB,EG11878-MONOMER,zapB
sulfate/thiosulfate ABC transporter inner membrane subunit CysU,CYST-MONOMER,cysU
putative outer membrane channel,EG12020-MONOMER,mdtQ
IS186/IS421 transposase,MONOMER0-4232,insL-2
nitrate/nitrite transporter NarU,NARU-MONOMER,narU
endochitinase,EG11237-MONOMER,chiA
conserved protein YbaA,EG11099-MONOMER,ybaA
bifunctional folylpolyglutamate synthetase / dihydrofolate synthetase,FOLC-MONOMER,folC
siroheme synthase subunit,SIROHEMESYN-MONOMER,cysG
putative EcfF,EG12705-MONOMER,yggN
KpLE2 phage-like element; putative endoglucanase with Zn-dependent exopeptidase domain,SGCB-MONOMER,sgcX
putative aromatic acid exporter family transporter YccS,G6495-MONOMER,yccS
DNA-binding transcriptional dual regulator NtrC,PROTEIN-NRI,glnG
tail anchored inner membrane protein,G7173-MONOMER,elaB
IDONDEHYD-MONOMER,IDONDEHYD-MONOMER,idnD
chitobiose outer membrane channel,G6370-MONOMER,chiP
"putative phosphatidyl transferase, inner membrane protein",G6953-MONOMER,ynjF
uncharacterized protein YhaL,G7621-MONOMER,yhaL
Zn<sup>2+</sup> ABC transporter periplasmic binding protein,ZNUA-MONOMER,znuA
transcriptional dual regulator HU-&alpha; (HU-2),EG10466-MONOMER,hupA
DNA-binding transcriptional dual regulator NarP,NARP-MONOMER,narP
Enzyme IIA<sup>Glc</sup>,CRR-MONOMER,crr
putative defective phage integrase,G7044-MONOMER,intG
putative fimbrial chaperone YehC,EG11989-MONOMER,yehC
NADPPHOSPHAT-MONOMER,NADPPHOSPHAT-MONOMER,
glucose-1-phosphatase,GLUCOSE-1-PHOSPHAT-MONOMER,agp
stress response protein,EG11206-MONOMER,yjaA
sensory histidine kinase NarQ,NARQ-MONOMER,narQ
ferric enterobactin ABC transporter membrane subunit FepG,FEPG-MONOMER,fepG
Qin prophage; protein YdfV,G6832-MONOMER,ydfV
SDAC-MONOMER,SDAC-MONOMER,sdaC
hydroxyacylglutathione hydrolase GloC,G6475-MONOMER,gloC
"putative oxidoreductase,  4Fe-4S ferredoxin-type subunit",G7505-MONOMER,ygfS
"putative macroglobulin family protein, N-terminal fragment",G7155-MONOMER,yfaS_1
sensory histidine kinase NarX,NARX-MONOMER,narX
HRSA-MONOMER,HRSA-MONOMER,mngA
peptidoglycan DD-endopeptidase DacB,EG10202-MONOMER,dacB
protein YdiZ,G6929-MONOMER,ydiZ
DUF218 domain-containing protein YgjQ,G7605-MONOMER,ygjQ
multidrug/spermidine efflux pump membrane subunit MdtJ,B1600-MONOMER,mdtJ
regulator of FtsH protease,EG10435-MONOMER,hflC
citrate lyase citrate-acyl carrier protein transferase subunit,CITTRANS-MONOMER,citF
&alpha;-D-glucose-1-phosphate phosphatase,EG11850-MONOMER,yihX
flagellar hook-filament junction protein 1,EG11967-MONOMER,flgK
small protein MgtS,MONOMER0-766,mgtS
RNA polymerase-binding ATPase and RNAP recycling factor,EG11083-MONOMER,rapA
OsmC family protein,EG11182-MONOMER,yhfA
3-hydroxy-acyl-[acyl-carrier-protein] dehydratase,FABZ-MONOMER,fabZ
uncharacterized protein YabQ,EG12611-MONOMER,yabQ
"RNA polymerase, sigma 70 (sigma D) factor",RPOD-MONOMER,rpoD
G6456-MONOMER,G6456-MONOMER,hcr
spermidine preferential ABC transporter periplasmic binding protein,POTD-MONOMER,potD
IS3 element protein InsF,G7126-MONOMER,insF-1
Fe-S cluster scaffold complex subunit SufB,G6909-MONOMER,sufB
sensory histidine kinase DpiB,G6345-MONOMER,dpiB
putative fimbrial chaperone YqiH,G7586-MONOMER,yqiH
L-fucose mutarotase,EG10355-MONOMER,fucU
glutathione ABC transporter membrane subunit GsiD,YLID-MONOMER,gsiD
cyclopropane fatty acyl phospholipid synthase,CFA-MONOMER,cfa
uncharacterized protein YjcB,EG11937-MONOMER,yjcB
tRNA U34 carboxymethyltransferase,G7021-MONOMER,cmoB
<i>iraD</i> leader peptide,MONOMER0-4390,idlP
small conductance mechanosensitive channel MscS,EG11160-MONOMER,mscS
glutamate/aspartate ABC transporter membrane subunit GltK,GLTK-MONOMER,gltK
enolase,ENOLASE-MONOMER,eno
RhtC threonine Rht Transporter,RHTC-MONOMER,rhtC
putative selenoprotein YdfZ,G6815-MONOMER,ydfZ
glutathione <i>S</i>-transferase GstB,G6438-MONOMER,gstB
putative colanic acid biosynthesis acyl transferase,G7103-MONOMER,wcaB
putative xanthine dehydrogenase iron-sulfur-binding subunit XdhC,G7487-MONOMER,xdhC
guanylate kinase,GUANYL-KIN-MONOMER,gmk
G6892-MONOMER,G6892-MONOMER,mepH
cobalamin/cobinamide outer membrane transporter,EG10126-MONOMER,btuB
DNA-binding transcriptional activator YqhC,G7563-MONOMER,yqhC
regulator for fimA,EG10312-MONOMER,fimE
