bact:BETA_ECOLI	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)	uniprot:P17444	betA b0311 JW0303
bact:BETB_ECOLI	NAD/NADP-dependent betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)	uniprot:P17445	betB b0312 JW0304
bact:BETT_ECOLI	High-affinity choline transport protein	uniprot:P0ABC9	betT b0314 JW0306
bact:BGAL_ECOLI	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	uniprot:P00722	lacZ b0344 JW0335
bact:BGLA_ECOLI	6-phospho-beta-glucosidase BglA (EC 3.2.1.86) (Phospho-beta-glucosidase A)	uniprot:Q46829	bglA bglD yqfC b2901 JW2869
bact:BGLX_ECOLI	Periplasmic beta-glucosidase (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase) (Cellobiase) (Gentiobiase)	uniprot:P33363	bglX yohA b2132 JW2120
bact:BIOA_ECOLI	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	uniprot:P12995	bioA b0774 JW0757
bact:BIOB_ECOLI	Biotin synthase (EC 2.8.1.6)	uniprot:P12996	bioB b0775 JW0758
bact:BIOC_ECOLI	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)	uniprot:P12999	bioC b0777 JW0760
bact:BIOD1_ECOLI	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase)	uniprot:P13000	bioD1 b0778 JW0761
bact:BIOF_ECOLI	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	uniprot:P12998	bioF b0776 JW0759
bact:BIOH_ECOLI	Pimeloyl-[acyl-carrier protein] methyl ester esterase (EC 3.1.1.85) (Biotin synthesis protein BioH) (Carboxylesterase BioH)	uniprot:P13001	bioH bioB b3412 JW3375
bact:BISC_ECOLI	Biotin sulfoxide reductase (BDS reductase) (BSO reductase) (EC 1.-.-.-) (L-methionine-(S)-sulfoxide reductase) (Met-S-SO reductase) (EC 1.8.4.13)	uniprot:P20099	bisC b3551 JW5940
bact:BRNQ_ECOLI	Branched-chain amino acid transport system 2 carrier protein (LIV-II)	uniprot:P0AD99	brnQ b0401 JW0391
bact:BTUB_ECOLI	Vitamin B12 transporter BtuB (Cobalamin receptor) (Outer membrane cobalamin translocator)	uniprot:P06129	btuB bfe cer dcrC b3966 JW3938
bact:BTUC_ECOLI	Vitamin B12 import system permease protein BtuC	uniprot:P06609	btuC b1711 JW1701
bact:BTUD_ECOLI	Vitamin B12 import ATP-binding protein BtuD (EC 3.6.3.33) (Vitamin B12-transporting ATPase)	uniprot:P06611	btuD b1709 JW1699
bact:BTUE_ECOLI	Thioredoxin/glutathione peroxidase BtuE (EC 1.11.1.15) (EC 1.11.1.9)	uniprot:P06610	btuE b1710 JW1700
bact:BTUF_ECOLI	Vitamin B12-binding protein	uniprot:P37028	btuF yadT b0158 JW0154
bact:BTUR_ECOLI	Cob(I)yrinic acid a,c-diamide adenosyltransferase (EC 2.5.1.17) (Cob(I)alamin adenosyltransferase) (Corrinoid adenosyltransferase)	uniprot:P0A9H5	btuR cobA b1270 JW1262
bact:CADB_ECOLI	Probable cadaverine/lysine antiporter	uniprot:P0AAE8	cadB b4132 JW4093
bact:CAIB_ECOLI	L-carnitine CoA-transferase (EC 2.8.3.21) (Crotonobetainyl-CoA:carnitine CoA-transferase)	uniprot:P31572	caiB yaaN b0038 JW0037
bact:CAIC_ECOLI	Probable crotonobetaine/carnitine-CoA ligase (EC 6.2.1.-)	uniprot:P31552	caiC yaaM b0037 JW0036
bact:CAID_ECOLI	Carnitinyl-CoA dehydratase (EC 4.2.1.149) (Crotonobetainyl-CoA hydratase)	uniprot:P31551	caiD yaaL b0036 JW0035
bact:CAIT_ECOLI	L-carnitine/gamma-butyrobetaine antiporter	uniprot:P31553	caiT yaaP b0040 JW0039
bact:CAN_ECOLI	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase 2)	uniprot:P61517	can cynT2 yadF b0126 JW0122
bact:CAPP_ECOLI	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	uniprot:P00864	ppc glu b3956 JW3928
bact:CARA_ECOLI	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase glutamine chain)	uniprot:P0A6F1	carA pyrA b0032 JW0030
bact:CARB_ECOLI	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	uniprot:P00968	carB pyrA b0033 JW0031
bact:CATE_ECOLI	Catalase HPII (EC 1.11.1.6) (Hydroxyperoxidase II)	uniprot:P21179	katE b1732 JW1721
bact:CCMA_ECOLI	Cytochrome c biogenesis ATP-binding export protein CcmA (EC 3.6.3.41) (Heme exporter protein A)	uniprot:P33931	ccmA yejW b2201 JW5366
bact:CCMB_ECOLI	Heme exporter protein B (Cytochrome c-type biogenesis protein CcmB)	uniprot:P0ABL8	ccmB yejV b2200 JW2188
bact:CCMC_ECOLI	Heme exporter protein C (Cytochrome c-type biogenesis protein CcmC)	uniprot:P0ABM1	ccmC yejT yejU b2199 JW2187
bact:CCMD_ECOLI	Heme exporter protein D (Cytochrome c-type biogenesis protein CcmD)	uniprot:P0ABM5	ccmD yojM b2198 JW2186
bact:CCME_ECOLI	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)	uniprot:P69490	ccmE yejS b2197 JW2185
bact:CDD_ECOLI	Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)	uniprot:P0ABF6	cdd b2143 JW2131
bact:CDH_ECOLI	CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26) (CDP-diacylglycerol phosphatidylhydrolase) (CDP-diglyceride hydrolase)	uniprot:P06282	cdh b3918 JW3889
bact:CDSA_ECOLI	Phosphatidate cytidylyltransferase (EC 2.7.7.41) (CDP-DAG synthase) (CDP-DG synthase) (CDP-diacylglycerol synthase) (CDS) (CDP-diglyceride pyrophosphorylase) (CDP-diglyceride synthase) (CTP:phosphatidate cytidylyltransferase)	uniprot:P0ABG1	cdsA cds b0175 JW5810
bact:CFA_ECOLI	Cyclopropane-fatty-acyl-phospholipid synthase (CFA synthase) (Cyclopropane fatty acid synthase) (EC 2.1.1.79)	uniprot:P0A9H7	cfa cdfA b1661 JW1653
bact:CHAA_ECOLI	Sodium-potassium/proton antiporter ChaA (Na(+)/H(+) exchanger)	uniprot:P31801	chaA b1216 JW1207
bact:CHBF_ECOLI	6-phospho-beta-glucosidase (EC 3.2.1.86) (Cellobiose-6-phosphate hydrolase) (Phospho-chitobiase)	uniprot:P17411	chbF celF ydjD b1734 JW1723
bact:CILA_ECOLI	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)	uniprot:P75726	citF ybdV b0615 JW5087
bact:CIRA_ECOLI	Colicin I receptor	uniprot:P17315	cirA cir feuA b2155 JW2142
bact:CISY_ECOLI	Citrate synthase (EC 2.3.3.16)	uniprot:P0ABH7	gltA gluT icdB b0720 JW0710
bact:CITD_ECOLI	Citrate lyase acyl carrier protein (Citrate lyase gamma chain)	uniprot:P69330	citD ybdX b0617 JW0609
bact:CITE_ECOLI	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)	uniprot:P0A9I1	citE ybdW b0616 JW0608
bact:CITG_ECOLI	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase) (EC 2.4.2.52)	uniprot:P77231	citG ybdT b0613 JW0605
bact:CITT_ECOLI	Citrate/succinate antiporter (Citrate carrier) (Citrate transporter)	uniprot:P0AE74	citT ybdS b0612 JW0604
bact:CITX_ECOLI	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.61) (Apo-ACP nucleodityltransferase) (Holo-ACP synthase) (Holo-citrate lyase synthase)	uniprot:P0A6G5	citX ybdU b0614 JW0606
bact:CLCA_ECOLI	H(+)/Cl(-) exchange transporter ClcA (ClC-ec1)	uniprot:P37019	clcA eriC yadQ b0155 JW5012
bact:CLCB_ECOLI	Voltage-gated ClC-type chloride channel ClcB	uniprot:P76175	clcB mriT ynfJ b1592 JW5263
bact:CLSA_ECOLI	Cardiolipin synthase A (CL synthase) (EC 2.7.8.-)	uniprot:P0A6H8	clsA cls nov yciJ b1249 JW1241
bact:CLSB_ECOLI	Cardiolipin synthase B (CL synthase) (EC 2.7.8.-)	uniprot:P0AA84	clsB ybhO b0789 JW0772
bact:COAA_ECOLI	Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase) (Rts protein)	uniprot:P0A6I3	coaA panK rts b3974 JW3942
bact:COABC_ECOLI	Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) [Includes: Phosphopantothenoylcysteine decarboxylase (PPCDC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (PPC synthetase) (PPCS) (Phosphopantothenoylcysteine synthase)]	uniprot:P0ABQ0	coaBC dfp b3639 JW5642
bact:COAD_ECOLI	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	uniprot:P0A6I6	coaD kdtB yicA b3634 JW3609
bact:COAE_ECOLI	Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)	uniprot:P0A6I9	coaE yacE b0103 JW0100
bact:COBC_ECOLI	Adenosylcobalamin/alpha-ribazole phosphatase (EC 3.1.3.73) (Adenosylcobalamin phosphatase) (Alpha-ribazole-5'-phosphate phosphatase)	uniprot:P52086	cobC phpB b0638 JW0633
bact:COBS_ECOLI	Adenosylcobinamide-GDP ribazoletransferase (EC 2.7.8.26) (Cobalamin synthase) (Cobalamin-5'-phosphate synthase)	uniprot:P36561	cobS b1992 JW1970
bact:COBT_ECOLI	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	uniprot:P36562	cobT b1991 JW1969
bact:COBU_ECOLI	Bifunctional adenosylcobalamin biosynthesis protein CobU (Adenosylcobinamide kinase) (EC 2.7.1.156) (Adenosylcobinamide-phosphate guanylyltransferase) (EC 2.7.7.62)	uniprot:P0AE76	cobU b1993 JW1971
bact:CODA_ECOLI	Cytosine deaminase (CD) (CDA) (CDase) (EC 3.5.4.1) (Cytosine aminohydrolase) (Isoguanine deaminase) (EC 3.5.4.-)	uniprot:P25524	codA b0337 JW0328
bact:CODB_ECOLI	Cytosine permease	uniprot:P0AA82	codB b0336 JW0327
bact:COF_ECOLI	HMP-PP phosphatase (EC 3.6.1.-)	uniprot:P46891	cof b0446 JW0436
bact:COPA_ECOLI	Copper-exporting P-type ATPase A (EC 3.6.3.54) (Cu(+)-exporting ATPase)	uniprot:Q59385	copA ybaR b0484 JW0473
bact:CORA_ECOLI	Magnesium transport protein CorA	uniprot:P0ABI4	corA b3816 JW3789
bact:CPDB_ECOLI	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase (EC 3.1.3.6) (EC 3.1.4.16)	uniprot:P08331	cpdB b4213 JW4171
bact:CSDA_ECOLI	Cysteine desulfurase CsdA (EC 2.8.1.7) (Cysteine sulfinate desulfinase) (CSD) (EC 4.4.1.-) (Selenocysteine lyase) (EC 4.4.1.16)	uniprot:Q46925	csdA ygdJ b2810 JW2781
bact:CUEO_ECOLI	Blue copper oxidase CueO (Copper efflux oxidase)	uniprot:P36649	cueO yacK b0123 JW0119
bact:CUSA_ECOLI	Cation efflux system protein CusA	uniprot:P38054	cusA ybdE b0575 JW0564
bact:CUSB_ECOLI	Cation efflux system protein CusB	uniprot:P77239	cusB ylcD b0574 JW0563
bact:CUSC_ECOLI	Cation efflux system protein CusC	uniprot:P77211	cusC ibeB ylcB b0572 JW0561
bact:CUSF_ECOLI	Cation efflux system protein CusF	uniprot:P77214	cusF cusX ylcC b0573 JW0562
bact:CYAA_ECOLI	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	uniprot:P00936	cyaA cya b3806 JW3778
bact:CYAY_ECOLI	Protein CyaY	uniprot:P27838	cyaY b3807 JW3779
bact:CYBH_ECOLI	Probable Ni/Fe-hydrogenase 1 B-type cytochrome subunit	uniprot:P0AAM1	hyaC b0974 JW0956
bact:CYCA_ECOLI	D-serine/D-alanine/glycine transporter	uniprot:P0AAE0	cycA dagA ytfD b4208 JW4166
bact:CYDA_ECOLI	Cytochrome bd-I ubiquinol oxidase subunit 1 (EC 1.10.3.14) (Cytochrome bd-I oxidase subunit I) (Cytochrome d ubiquinol oxidase subunit I)	uniprot:P0ABJ9	cydA cyd-1 b0733 JW0722
bact:CYDB_ECOLI	Cytochrome bd-I ubiquinol oxidase subunit 2 (EC 1.10.3.14) (Cytochrome bd-I oxidase subunit II) (Cytochrome d ubiquinol oxidase subunit II)	uniprot:P0ABK2	cydB cyd-2 b0734 JW0723
bact:CYDC_ECOLI	ATP-binding/permease protein CydC	uniprot:P23886	cydC mdrA mdrH surB b0886 JW0869
bact:CYDD_ECOLI	ATP-binding/permease protein CydD	uniprot:P29018	cydD htrD b0887 JW0870
bact:CYNS_ECOLI	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	uniprot:P00816	cynS cnt b0340 JW0331
bact:CYNT_ECOLI	Carbonic anhydrase 1 (EC 4.2.1.1) (Carbonate dehydratase 1)	uniprot:P0ABE9	cynT b0339 JW0330
bact:CYNX_ECOLI	Cyanate transport protein CynX	uniprot:P17583	cynX b0341 JW0332
bact:CYOA_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome b562-o complex subunit II) (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2)	uniprot:P0ABJ1	cyoA b0432 JW0422
bact:CYOB_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 1.10.3.10) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	uniprot:P0ABI8	cyoB b0431 JW0421
bact:CYOC_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 3 (Cytochrome o ubiquinol oxidase subunit 3) (Cytochrome o subunit 3) (Oxidase bo(3) subunit 3) (Ubiquinol oxidase chain C) (Ubiquinol oxidase polypeptide III) (Ubiquinol oxidase subunit 3)	uniprot:P0ABJ3	cyoC b0430 JW0420
bact:CYOD_ECOLI	Cytochrome bo(3) ubiquinol oxidase subunit 4 (Cytochrome o ubiquinol oxidase subunit 4) (Cytochrome o subunit 4) (Oxidase bo(3) subunit 4) (Ubiquinol oxidase chain D) (Ubiquinol oxidase polypeptide IV) (Ubiquinol oxidase subunit 4)	uniprot:P0ABJ6	cyoD b0429 JW0419
bact:CYOE_ECOLI	Protoheme IX farnesyltransferase (EC 2.5.1.-) (Heme B farnesyltransferase) (Heme O synthase)	uniprot:P0AEA5	cyoE b0428 JW0418
bact:CYSA_ECOLI	Sulfate/thiosulfate import ATP-binding protein CysA (EC 3.6.3.25) (Sulfate-transporting ATPase)	uniprot:P16676	cysA b2422 JW2415
bact:CYSC_ECOLI	Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	uniprot:P0A6J1	cysC b2750 JW2720
bact:CYSD_ECOLI	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)	uniprot:P21156	cysD b2752 JW2722
bact:CYSE_ECOLI	Serine acetyltransferase (SAT) (EC 2.3.1.30)	uniprot:P0A9D4	cysE b3607 JW3582
bact:CYSG_ECOLI	Siroheme synthase [Includes: Uroporphyrinogen-III C-methyltransferase (Urogen III methylase) (EC 2.1.1.107) (SUMT) (Uroporphyrinogen III methylase) (UROM); Precorrin-2 dehydrogenase (EC 1.3.1.76); Sirohydrochlorin ferrochelatase (EC 4.99.1.4)]	uniprot:P0AEA8	cysG b3368 JW3331
bact:CYSH_ECOLI	Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	uniprot:P17854	cysH b2762 JW2732
bact:CYSI_ECOLI	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	uniprot:P17846	cysI b2763 JW2733
bact:CYSJ_ECOLI	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	uniprot:P38038	cysJ b2764 JW2734
bact:CYSK_ECOLI	Cysteine synthase A (CSase A) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase A) (OAS-TL A) (O-acetylserine sulfhydrylase A) (S-carboxymethylcysteine synthase) (EC 4.5.1.5) (Sulfate starvation-induced protein 5) (SSI5)	uniprot:P0ABK5	cysK cysZ b2414 JW2407
bact:CYSM_ECOLI	Cysteine synthase B (CSase B) (EC 2.5.1.47) (O-acetylserine (thiol)-lyase B) (OAS-TL B) (O-acetylserine sulfhydrylase B)	uniprot:P16703	cysM b2421 JW2414
bact:CYSN_ECOLI	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT)	uniprot:P23845	cysN b2751 JW2721
bact:CYSP_ECOLI	Thiosulfate-binding protein	uniprot:P16700	cysP b2425 JW2418
bact:CYSQ_ECOLI	3'(2'),5'-bisphosphate nucleotidase CysQ (EC 3.1.3.7) (3'(2'),5-bisphosphonucleoside 3'(2')-phosphohydrolase) (3'-phosphoadenosine 5'-phosphate phosphatase) (PAP phosphatase) (DPNPase)	uniprot:P22255	cysQ amtA b4214 JW4172
bact:CYST_ECOLI	Sulfate transport system permease protein CysT	uniprot:P16701	cysU cysT b2424 JW2417
bact:CYSW_ECOLI	Sulfate transport system permease protein CysW	uniprot:P0AEB0	cysW b2423 JW2416
bact:DACA_ECOLI	D-alanyl-D-alanine carboxypeptidase DacA (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Beta-lactamase) (EC 3.5.2.6) (Penicillin-binding protein 5) (PBP-5)	uniprot:P0AEB2	dacA pfv b0632 JW0627
bact:DACB_ECOLI	D-alanyl-D-alanine carboxypeptidase DacB (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (D-alanyl-D-alanine endopeptidase) (DD-endopeptidase) (EC 3.4.21.-) (Penicillin-binding protein 4) (PBP-4)	uniprot:P24228	dacB b3182 JW3149
bact:DACC_ECOLI	D-alanyl-D-alanine carboxypeptidase DacC (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6) (PBP-6)	uniprot:P08506	dacC b0839 JW0823
bact:DACD_ECOLI	D-alanyl-D-alanine carboxypeptidase DacD (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6b) (PBP-6b)	uniprot:P33013	dacD phsE yeeC b2010 JW5329
bact:DADA_ECOLI	D-amino acid dehydrogenase (EC 1.4.99.-) (D-alanine dehydrogenase)	uniprot:P0A6J5	dadA dadR b1189 JW1178
bact:DAPA_ECOLI	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	uniprot:P0A6L2	dapA b2478 JW2463
bact:DAPB_ECOLI	4-hydroxy-tetrahydrodipicolinate reductase (HTPA reductase) (EC 1.17.1.8)	uniprot:P04036	dapB b0031 JW0029
bact:DAPD_ECOLI	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117) (Tetrahydrodipicolinate N-succinyltransferase) (THDP succinyltransferase) (THP succinyltransferase) (Tetrahydropicolinate succinylase)	uniprot:P0A9D8	dapD b0166 JW0161
bact:DAPE_ECOLI	Succinyl-diaminopimelate desuccinylase (SDAP desuccinylase) (EC 3.5.1.18) (N-succinyl-LL-2,6-diaminoheptanedioate amidohydrolase)	uniprot:P0AED7	dapE msgB b2472 JW2456
bact:DAPF_ECOLI	Diaminopimelate epimerase (DAP epimerase) (EC 5.1.1.7) (PLP-independent amino acid racemase)	uniprot:P0A6K1	dapF b3809 JW5592
bact:DAUA_ECOLI	C4-dicarboxylic acid transporter DauA (Dicarboxylic acid uptake system A)	uniprot:P0AFR2	dauA ychM b1206 JW5189
bact:DCDA_ECOLI	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	uniprot:P00861	lysA b2838 JW2806
bact:DCD_ECOLI	dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)	uniprot:P28248	dcd dus paxA b2065 JW2050
bact:DCEA_ECOLI	Glutamate decarboxylase alpha (GAD-alpha) (EC 4.1.1.15)	uniprot:P69908	gadA gadS b3517 JW3485
bact:DCEB_ECOLI	Glutamate decarboxylase beta (GAD-beta) (EC 4.1.1.15)	uniprot:P69910	gadB b1493 JW1488
bact:DCLZ_ECOLI	Constitutive lysine decarboxylase (LDC) (EC 4.1.1.18)	uniprot:P52095	ldcC ldc ldcH b0186 JW0181
bact:DCOR_ECOLI	Constitutive ornithine decarboxylase (EC 4.1.1.17)	uniprot:P21169	speC b2965 JW5482
bact:DCOS_ECOLI	Inducible ornithine decarboxylase (EC 4.1.1.17)	uniprot:P24169	speF b0693 JW0680
bact:DCTA_ECOLI	Aerobic C4-dicarboxylate transport protein	uniprot:P0A830	dctA b3528 JW3496
bact:DCUA_ECOLI	Anaerobic C4-dicarboxylate transporter DcuA	uniprot:P0ABN5	dcuA genA b4138 JW5735
bact:DCUB_ECOLI	Anaerobic C4-dicarboxylate transporter DcuB	uniprot:P0ABN9	dcuB genF b4123 JW4084
bact:DCUC_ECOLI	Anaerobic C4-dicarboxylate transporter DcuC	uniprot:P0ABP3	dcuC b0621 JW0613/JW0616
bact:DCUP_ECOLI	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	uniprot:P29680	hemE b3997 JW3961
bact:DCYD_ECOLI	D-cysteine desulfhydrase (EC 4.4.1.15)	uniprot:P76316	dcyD yedO b1919 JW5313
bact:DDLA_ECOLI	D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-Ala-D-Ala ligase A) (D-alanylalanine synthetase A)	uniprot:P0A6J8	ddlA b0381 JW0372
bact:DDLB_ECOLI	D-alanine--D-alanine ligase B (EC 6.3.2.4) (D-Ala-D-Ala ligase B) (D-alanylalanine synthetase B)	uniprot:P07862	ddlB ddl b0092 JW0090
bact:DDPA_ECOLI	Probable D,D-dipeptide-binding periplasmic protein DdpA	uniprot:P76128	ddpA yddS b1487 JW5240
bact:DDPB_ECOLI	Probable D,D-dipeptide transport system permease protein DdpB	uniprot:P77308	ddpB yddR b1486 JW1481
bact:DDPC_ECOLI	Probable D,D-dipeptide transport system permease protein DdpC	uniprot:P77463	ddpC yddQ b1485 JW1480
bact:DDPD_ECOLI	Probable D,D-dipeptide transport ATP-binding protein DdpD	uniprot:P77268	ddpD yddP b1484 JW1479
bact:DDPF_ECOLI	Probable D,D-dipeptide transport ATP-binding protein DdpF	uniprot:P77622	ddpF yddO b1483 JW1478
bact:DDPX_ECOLI	D-alanyl-D-alanine dipeptidase (D-Ala-D-Ala dipeptidase) (EC 3.4.13.22)	uniprot:P77790	ddpX vanX yddT b1488 JW1483
bact:DEOB_ECOLI	Phosphopentomutase (EC 5.4.2.7) (Phosphodeoxyribomutase)	uniprot:P0A6K6	deoB drm thyR b4383 JW4346
bact:DEOC_ECOLI	Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)	uniprot:P0A6L0	deoC dra thyR b4381 JW4344
bact:DEOD_ECOLI	Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1) (Inosine phosphorylase)	uniprot:P0ABP8	deoD pup b4384 JW4347
bact:DGAL_ECOLI	D-galactose-binding periplasmic protein (GBP) (D-galactose/ D-glucose-binding protein) (GGBP)	uniprot:P0AEE5	mglB b2150 JW2137
bact:DGOA_ECOLI	2-dehydro-3-deoxy-6-phosphogalactonate aldolase (EC 4.1.2.21) (2-oxo-3-deoxygalactonate 6-phosphate aldolase) (6-phospho-2-dehydro-3-deoxygalactonate aldolase) (6-phospho-2-keto-3-deoxygalactonate aldolase) (KDPGal)	uniprot:Q6BF16	dgoA yidU b4477 JW5628
bact:DGOD_ECOLI	D-galactonate dehydratase (GalD) (EC 4.2.1.6)	uniprot:Q6BF17	dgoD yidU b4478 JW5629
bact:DGOK_ECOLI	2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58) (2-keto-3-deoxy-galactonokinase) (2-oxo-3-deoxygalactonate kinase)	uniprot:P31459	dgoK yidV b3693 JW3670
bact:DGOT_ECOLI	D-galactonate transporter	uniprot:P0AA76	dgoT yidT b3691 JW5859
bact:DGTP_ECOLI	Deoxyguanosinetriphosphate triphosphohydrolase (dGTP triphosphohydrolase) (dGTPase) (EC 3.1.5.1)	uniprot:P15723	dgt b0160 JW0156
bact:DHAK_ECOLI	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK (EC 2.7.1.121)	uniprot:P76015	dhaK ycgT b1200 JW5187
bact:DHAL_ECOLI	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL (EC 2.7.1.121)	uniprot:P76014	dhaL ycgS b1199 JW5186
bact:DHAM_ECOLI	Protein-lysine deacetylase (EC 3.5.1.-) (Dihydroxyacetone kinase subunit M) (Lysine deacetylase) (KDAC) (PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM)	uniprot:P37349	dhaM ycgC b1198 JW5185
bact:DHAS_ECOLI	Aspartate-semialdehyde dehydrogenase (ASA dehydrogenase) (ASADH) (EC 1.2.1.11) (Aspartate-beta-semialdehyde dehydrogenase)	uniprot:P0A9Q9	asd hom b3433 JW3396
bact:DHE4_ECOLI	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	uniprot:P00370	gdhA b1761 JW1750
bact:DHG_ECOLI	Quinoprotein glucose dehydrogenase (EC 1.1.5.2) (Glucose dehydrogenase [pyrroloquinoline-quinone])	uniprot:P15877	gcd b0124 JW0120
bact:DHNA_ECOLI	NADH dehydrogenase (EC 1.6.99.3)	uniprot:P00393	ndh b1109 JW1095
